Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD5850,Vadodara,ABC Institute,1st,Data Science,College Collaboration
LD5851,Mumbai,NIT Warangal,4th,Data Science,Email
LD5852,Visakhapatnam,BITS Pilani,4th,Robotics,Mass-Mailing
LD5853,Hyderabad,Manipal University,4th,Robotics,Instagram
LD5854,Delhi,Manipal University,3rd,Electric Vehicle,Mass-Mailing
LD5855,Nagpur,IIT Delhi,2nd,Cloud Computing,Instagram
LD5856,Lucknow,SRM University,3rd,Cyber Security,Instagram
LD5857,Ahmedabad,IISc Bangalore,1st,AI,Referral
LD5858,Chandigarh,IIT Delhi,3rd,AI,Instagram
LD5859,Jaipur,Manipal University,3rd,Cloud Computing,Email
LD5860,Trivandrum,Bharati Vidyapeeth,1st,Machine Learning,Facebook
LD5861,Trivandrum,BITS Pilani,4th,Cloud Computing,Facebook
LD5862,Vadodara,XYZ University,3rd,Cyber Security,Facebook
LD5863,Surat,SP College,4th,AI,Google Form
LD5864,Indore,IIT Delhi,1st,Robotics,College Collaboration
LD5865,Visakhapatnam,Bharati Vidyapeeth,4th,Data Science,Email
LD5866,Mumbai,Amity University,4th,Cloud Computing,LinkedIn
LD5867,Hyderabad,MIT Pune,1st,Robotics,LinkedIn
LD5868,Nagpur,NIT Warangal,2nd,Cloud Computing,WhatsApp
LD5869,Pune,SP College,4th,Data Science,Facebook
LD5870,Delhi,NIT Warangal,2nd,Cloud Computing,Referral
LD5871,Surat,MIT Pune,3rd,Data Science,Google Form
LD5872,Lucknow,IIT Delhi,4th,Cyber Security,LinkedIn
LD5873,Visakhapatnam,Shiv Nadar University,2nd,Electric Vehicle,Google Form
LD5874,Mumbai,NIT Warangal,1st,AI,Instagram
LD5875,Bangalore,MIT Pune,3rd,Electric Vehicle,Referral
LD5876,Bangalore,IISc Bangalore,3rd,Data Science,WhatsApp
LD5877,Jaipur,Bharati Vidyapeeth,1st,Data Science,LinkedIn
LD5878,Kolkata,University of Delhi,1st,Electric Vehicle,Mass-Mailing
LD5879,Chandigarh,ABC Institute,4th,Cyber Security,Email
LD5880,Kolkata,ABC Institute,2nd,Robotics,Mass-Mailing
LD5881,Coimbatore,VIT Vellore,3rd,Electric Vehicle,WhatsApp
LD5882,Patna,University of Delhi,3rd,Cloud Computing,WhatsApp
LD5883,Bhopal,University of Delhi,3rd,Cloud Computing,Facebook
LD5884,Chennai,Jadavpur University,2nd,Electric Vehicle,Referral
LD5885,Coimbatore,IISc Bangalore,4th,AI,Google Form
LD5886,Bangalore,Bharati Vidyapeeth,2nd,Cyber Security,Instagram
LD5887,Ahmedabad,Manipal University,4th,AI,Mass-Mailing
LD5888,Bangalore,IIT Bombay,1st,AI,College Collaboration
LD5889,Coimbatore,Manipal University,1st,Data Science,Mass-Mailing
LD5890,Delhi,ABC Institute,1st,Machine Learning,College Collaboration
LD5891,Ahmedabad,Bharati Vidyapeeth,3rd,Cyber Security,Email
LD5892,Visakhapatnam,NIT Warangal,3rd,Data Science,WhatsApp
LD5893,Bhopal,Shiv Nadar University,1st,Electric Vehicle,LinkedIn
LD5894,Kolkata,MIT Pune,4th,AI,Instagram
LD5895,Indore,Shivaji University,1st,Electric Vehicle,Referral
LD5896,Pune,IIT Delhi,3rd,Cyber Security,Referral
LD5897,Chennai,University of Delhi,1st,Machine Learning,Instagram
LD5898,Bhopal,ABC Institute,3rd,Robotics,Email
LD5899,Trivandrum,VIT Vellore,2nd,Robotics,College Collaboration
LD5900,Ahmedabad,SRM University,1st,Cyber Security,Instagram
LD5901,Hyderabad,Manipal University,4th,Electric Vehicle,WhatsApp
LD5902,Delhi,SRM University,2nd,Robotics,WhatsApp
LD5903,Bangalore,SRM University,3rd,Electric Vehicle,Instagram
LD5904,Surat,IISc Bangalore,1st,Electric Vehicle,WhatsApp
LD5905,Bhopal,Shivaji University,1st,Electric Vehicle,College Collaboration
LD5906,Pune,ABC Institute,1st,Electric Vehicle,WhatsApp
LD5907,Nagpur,IISc Bangalore,1st,Data Science,Facebook
LD5908,Indore,Shiv Nadar University,2nd,Electric Vehicle,College Collaboration
LD5909,Bhopal,Jadavpur University,2nd,Cyber Security,Facebook
LD5910,Indore,IIT Bombay,4th,AI,Email
LD5911,Bangalore,MIT Pune,2nd,Robotics,Instagram
LD5912,Lucknow,Shivaji University,3rd,AI,LinkedIn
LD5913,Kolkata,IISc Bangalore,1st,Electric Vehicle,College Collaboration
LD5914,Ahmedabad,Jamia Millia Islamia,3rd,Electric Vehicle,Google Form
LD5915,Lucknow,Shiv Nadar University,1st,AI,Mass-Mailing
LD5916,Trivandrum,University of Delhi,1st,Data Science,Mass-Mailing
LD5917,Trivandrum,SRM University,3rd,Machine Learning,Facebook
LD5918,Patna,Shivaji University,2nd,Cloud Computing,Referral
LD5919,Jaipur,XYZ University,4th,Robotics,Email
LD5920,Delhi,SRM University,2nd,Cyber Security,Instagram
LD5921,Coimbatore,BITS Pilani,2nd,Cloud Computing,Email
LD5922,Coimbatore,IIT Delhi,1st,Data Science,College Collaboration
LD5923,Surat,Shiv Nadar University,4th,AI,College Collaboration
LD5924,Mumbai,Manipal University,2nd,Cyber Security,Email
LD5925,Mumbai,Bharati Vidyapeeth,4th,Data Science,College Collaboration
LD5926,Visakhapatnam,BITS Pilani,2nd,Electric Vehicle,WhatsApp
LD5927,Chennai,Shivaji University,1st,Machine Learning,Mass-Mailing
LD5928,Mumbai,BITS Pilani,4th,Electric Vehicle,College Collaboration
LD5929,Chandigarh,NIT Trichy,2nd,Cyber Security,Mass-Mailing
LD5930,Kolkata,University of Delhi,3rd,Data Science,LinkedIn
LD5931,Jaipur,XYZ University,1st,Electric Vehicle,WhatsApp
LD5932,Ahmedabad,IISc Bangalore,3rd,Cyber Security,Mass-Mailing
LD5933,Lucknow,MIT Pune,1st,Data Science,WhatsApp
LD5934,Vadodara,IISc Bangalore,2nd,AI,Referral
LD5935,Coimbatore,Shivaji University,2nd,Electric Vehicle,WhatsApp
LD5936,Surat,ABC Institute,2nd,Cloud Computing,Mass-Mailing
LD5937,Visakhapatnam,NIT Warangal,4th,Machine Learning,College Collaboration
LD5938,Surat,IIT Delhi,3rd,AI,Google Form
LD5939,Chandigarh,SRM University,1st,Robotics,Facebook
LD5940,Bangalore,SP College,1st,Electric Vehicle,Mass-Mailing
LD5941,Patna,Jadavpur University,2nd,Robotics,LinkedIn
LD5942,Lucknow,Shiv Nadar University,3rd,Machine Learning,Google Form
LD5943,Vadodara,IIT Delhi,4th,AI,LinkedIn
LD5944,Bangalore,Jadavpur University,4th,Electric Vehicle,Facebook
LD5945,Bangalore,SRM University,2nd,AI,Referral
LD5946,Lucknow,NIT Trichy,3rd,AI,Referral
LD5947,Chandigarh,Bharati Vidyapeeth,2nd,Electric Vehicle,LinkedIn
LD5948,Lucknow,SP College,1st,AI,Email
LD5949,Hyderabad,BITS Pilani,4th,AI,Facebook
LD5950,Nagpur,Shiv Nadar University,4th,Data Science,Instagram
LD5951,Coimbatore,Bharati Vidyapeeth,1st,Data Science,LinkedIn
LD5952,Visakhapatnam,NIT Warangal,4th,Cloud Computing,LinkedIn
LD5953,Chennai,MIT Pune,2nd,AI,Google Form
LD5954,Delhi,Amity University,3rd,Machine Learning,Facebook
LD5955,Indore,University of Delhi,2nd,Electric Vehicle,Instagram
LD5956,Surat,Manipal University,1st,Cyber Security,Email
LD5957,Indore,ABC Institute,2nd,Cyber Security,Facebook
LD5958,Patna,Jadavpur University,2nd,Cloud Computing,Mass-Mailing
LD5959,Ahmedabad,ABC Institute,1st,Data Science,Mass-Mailing
LD5960,Visakhapatnam,IIT Delhi,1st,Electric Vehicle,Facebook
LD5961,Jaipur,IIT Delhi,4th,Data Science,Facebook
LD5962,Indore,University of Delhi,3rd,AI,Google Form
LD5963,Kolkata,Manipal University,2nd,AI,Google Form
LD5964,Bhopal,University of Delhi,1st,AI,Instagram
LD5965,Kolkata,MIT Pune,2nd,Machine Learning,Mass-Mailing
LD5966,Delhi,IISc Bangalore,1st,Data Science,Facebook
LD5967,Chennai,NIT Warangal,2nd,Machine Learning,LinkedIn
LD5968,Trivandrum,IISc Bangalore,2nd,Machine Learning,Google Form
LD5969,Chennai,Shiv Nadar University,4th,Data Science,WhatsApp
LD5970,Vadodara,NIT Warangal,3rd,Data Science,College Collaboration
LD5971,Vadodara,Amity University,2nd,Robotics,Referral
LD5972,Chandigarh,VIT Vellore,1st,Robotics,LinkedIn
LD5973,Chandigarh,VIT Vellore,1st,Electric Vehicle,College Collaboration
LD5974,Patna,Manipal University,1st,Machine Learning,WhatsApp
LD5975,Patna,SP College,1st,Data Science,Referral
LD5976,Visakhapatnam,IISc Bangalore,3rd,Robotics,Instagram
LD5977,Lucknow,IIT Delhi,3rd,Cyber Security,Referral
LD5978,Vadodara,Amity University,1st,Cloud Computing,Email
LD5979,Patna,IIT Bombay,2nd,Robotics,Facebook
LD5980,Nagpur,Jadavpur University,1st,AI,Email
LD5981,Mumbai,IISc Bangalore,2nd,Cloud Computing,Mass-Mailing
LD5982,Coimbatore,Shiv Nadar University,2nd,Data Science,Referral
LD5983,Patna,Jadavpur University,3rd,Robotics,Google Form
LD5984,Pune,Jadavpur University,2nd,Cloud Computing,LinkedIn
LD5985,Visakhapatnam,IISc Bangalore,4th,Electric Vehicle,Google Form
LD5986,Visakhapatnam,MIT Pune,4th,Electric Vehicle,College Collaboration
LD5987,Coimbatore,NIT Warangal,4th,Robotics,Google Form
LD5988,Surat,University of Delhi,1st,Data Science,College Collaboration
LD5989,Kolkata,MIT Pune,4th,AI,WhatsApp
LD5990,Lucknow,Manipal University,4th,Machine Learning,Mass-Mailing
LD5991,Trivandrum,XYZ University,4th,Electric Vehicle,Mass-Mailing
LD5992,Chennai,IIT Bombay,3rd,Electric Vehicle,WhatsApp
LD5993,Chennai,Jamia Millia Islamia,1st,Data Science,WhatsApp
LD5994,Coimbatore,SP College,3rd,Cloud Computing,College Collaboration
LD5995,Bhopal,Bharati Vidyapeeth,1st,Machine Learning,College Collaboration
LD5996,Nagpur,IIT Delhi,1st,AI,College Collaboration
LD5997,Trivandrum,University of Delhi,4th,AI,Mass-Mailing
LD5998,Nagpur,Jadavpur University,3rd,Electric Vehicle,Google Form
LD5999,Kolkata,ABC Institute,2nd,Robotics,Referral
LD6000,Pune,ABC Institute,4th,Robotics,Instagram
LD6001,Mumbai,Bharati Vidyapeeth,4th,Robotics,College Collaboration
LD6002,Trivandrum,Shivaji University,4th,Data Science,Google Form
LD6003,Lucknow,Bharati Vidyapeeth,4th,AI,WhatsApp
LD6004,Delhi,ABC Institute,2nd,Cloud Computing,Google Form
LD6005,Jaipur,University of Delhi,2nd,Machine Learning,Referral
LD6006,Bhopal,Manipal University,1st,Data Science,Facebook
LD6007,Chandigarh,BITS Pilani,1st,AI,Email
LD6008,Kolkata,Bharati Vidyapeeth,2nd,Machine Learning,Email
LD6009,Coimbatore,Jadavpur University,3rd,AI,Facebook
LD6010,Jaipur,SP College,3rd,Cyber Security,Facebook
LD6011,Bhopal,NIT Warangal,4th,AI,Email
LD6012,Indore,MIT Pune,2nd,Machine Learning,Email
LD6013,Chandigarh,Manipal University,2nd,Cyber Security,Google Form
LD6014,Hyderabad,Bharati Vidyapeeth,1st,Robotics,Referral
LD6015,Trivandrum,IIT Delhi,2nd,Cyber Security,Mass-Mailing
LD6016,Patna,Manipal University,1st,Cyber Security,Mass-Mailing
LD6017,Surat,NIT Warangal,4th,Robotics,WhatsApp
LD6018,Bangalore,MIT Pune,4th,Machine Learning,College Collaboration
LD6019,Hyderabad,Jadavpur University,2nd,Cyber Security,Referral
LD6020,Vadodara,XYZ University,1st,Electric Vehicle,Referral
LD6021,Coimbatore,NIT Warangal,1st,AI,Facebook
LD6022,Patna,Jadavpur University,4th,AI,College Collaboration
LD6023,Jaipur,ABC Institute,4th,Machine Learning,Instagram
LD6024,Lucknow,IIT Delhi,2nd,Electric Vehicle,WhatsApp
LD6025,Kolkata,BITS Pilani,4th,Cyber Security,Instagram
LD6026,Nagpur,MIT Pune,1st,AI,Mass-Mailing
LD6027,Chennai,XYZ University,1st,Cyber Security,LinkedIn
LD6028,Coimbatore,ABC Institute,3rd,Electric Vehicle,Email
LD6029,Lucknow,XYZ University,4th,Data Science,Mass-Mailing
LD6030,Visakhapatnam,SRM University,4th,AI,WhatsApp
LD6031,Surat,XYZ University,4th,AI,Facebook
LD6032,Bhopal,SP College,3rd,AI,Email
LD6033,Chandigarh,ABC Institute,1st,Electric Vehicle,Facebook
LD6034,Chennai,MIT Pune,4th,AI,Facebook
LD6035,Chandigarh,NIT Trichy,2nd,Electric Vehicle,Instagram
LD6036,Bangalore,IISc Bangalore,2nd,Electric Vehicle,Mass-Mailing
LD6037,Indore,BITS Pilani,1st,Robotics,Facebook
LD6038,Ahmedabad,Manipal University,1st,Data Science,Referral
LD6039,Bangalore,VIT Vellore,3rd,Cloud Computing,Mass-Mailing
LD6040,Lucknow,Amity University,2nd,Cyber Security,Google Form
LD6041,Ahmedabad,Amity University,1st,Data Science,WhatsApp
LD6042,Vadodara,NIT Trichy,1st,Machine Learning,Facebook
LD6043,Nagpur,IIT Delhi,4th,Cyber Security,Mass-Mailing
LD6044,Delhi,Shivaji University,3rd,Electric Vehicle,Facebook
LD6045,Kolkata,Amity University,4th,AI,Facebook
LD6046,Ahmedabad,ABC Institute,1st,Data Science,Email
LD6047,Bangalore,ABC Institute,1st,Data Science,Instagram
LD6048,Chandigarh,NIT Warangal,1st,Cloud Computing,Instagram
LD6049,Vadodara,IISc Bangalore,3rd,Electric Vehicle,Facebook
LD6050,Coimbatore,Shiv Nadar University,1st,Data Science,Referral
LD6051,Hyderabad,Jamia Millia Islamia,4th,Cloud Computing,Instagram
LD6052,Patna,SP College,2nd,Data Science,WhatsApp
LD6053,Chandigarh,Bharati Vidyapeeth,4th,Machine Learning,WhatsApp
LD6054,Delhi,SP College,1st,Data Science,College Collaboration
LD6055,Delhi,Jamia Millia Islamia,4th,Machine Learning,Email
LD6056,Jaipur,MIT Pune,3rd,AI,Mass-Mailing
LD6057,Surat,Manipal University,3rd,Robotics,Instagram
LD6058,Ahmedabad,Jadavpur University,1st,AI,Facebook
LD6059,Bhopal,Jamia Millia Islamia,3rd,Electric Vehicle,LinkedIn
LD6060,Lucknow,NIT Warangal,3rd,Machine Learning,College Collaboration
LD6061,Chennai,Bharati Vidyapeeth,3rd,Electric Vehicle,Instagram
LD6062,Lucknow,XYZ University,3rd,Cloud Computing,WhatsApp
LD6063,Lucknow,IIT Delhi,1st,Robotics,Email
LD6064,Patna,Jamia Millia Islamia,1st,Cyber Security,Instagram
LD6065,Vadodara,NIT Warangal,4th,Cyber Security,LinkedIn
LD6066,Visakhapatnam,NIT Trichy,1st,Machine Learning,LinkedIn
LD6067,Kolkata,SP College,4th,Cloud Computing,Google Form
LD6068,Bhopal,Jamia Millia Islamia,1st,Machine Learning,College Collaboration
LD6069,Ahmedabad,Shivaji University,1st,Robotics,Mass-Mailing
LD6070,Visakhapatnam,Manipal University,3rd,Cyber Security,Mass-Mailing
LD6071,Vadodara,Jamia Millia Islamia,3rd,AI,Google Form
LD6072,Lucknow,NIT Trichy,4th,AI,LinkedIn
LD6073,Bangalore,IIT Bombay,3rd,Cloud Computing,Email
LD6074,Pune,SP College,3rd,Cyber Security,Facebook
LD6075,Jaipur,University of Delhi,4th,Robotics,WhatsApp
LD6076,Trivandrum,Jamia Millia Islamia,4th,AI,Instagram
LD6077,Patna,Shivaji University,3rd,Data Science,Email
LD6078,Hyderabad,Amity University,1st,Machine Learning,Instagram
LD6079,Chandigarh,Amity University,2nd,Robotics,Email
LD6080,Trivandrum,MIT Pune,4th,Machine Learning,WhatsApp
LD6081,Vadodara,Manipal University,4th,Machine Learning,Email
LD6082,Delhi,Amity University,1st,Robotics,Instagram
LD6083,Pune,NIT Trichy,1st,AI,Instagram
LD6084,Kolkata,Jamia Millia Islamia,3rd,Cyber Security,Instagram
LD6085,Surat,Amity University,2nd,Machine Learning,LinkedIn
LD6086,Visakhapatnam,SP College,1st,Robotics,Mass-Mailing
LD6087,Nagpur,IIT Bombay,2nd,Machine Learning,LinkedIn
LD6088,Chennai,ABC Institute,3rd,Machine Learning,Email
LD6089,Trivandrum,NIT Trichy,3rd,Electric Vehicle,Email
LD6090,Hyderabad,Shiv Nadar University,2nd,Machine Learning,Google Form
LD6091,Bangalore,IIT Delhi,2nd,Data Science,Email
LD6092,Chennai,NIT Trichy,2nd,Cyber Security,Facebook
LD6093,Coimbatore,BITS Pilani,4th,Machine Learning,Email
LD6094,Jaipur,MIT Pune,4th,Electric Vehicle,WhatsApp
LD6095,Jaipur,Bharati Vidyapeeth,3rd,Machine Learning,LinkedIn
LD6096,Ahmedabad,Amity University,2nd,Electric Vehicle,Email
LD6097,Nagpur,Shiv Nadar University,1st,Data Science,College Collaboration
LD6098,Chandigarh,XYZ University,3rd,Electric Vehicle,WhatsApp
LD6099,Surat,SRM University,4th,Cyber Security,WhatsApp
LD6100,Jaipur,Bharati Vidyapeeth,4th,Machine Learning,Mass-Mailing
LD6101,Hyderabad,ABC Institute,2nd,Data Science,Referral
LD6102,Hyderabad,Shivaji University,3rd,Data Science,WhatsApp
LD6103,Bhopal,BITS Pilani,4th,AI,Google Form
LD6104,Delhi,Jamia Millia Islamia,4th,AI,Referral
LD6105,Mumbai,Manipal University,1st,Machine Learning,Mass-Mailing
LD6106,Lucknow,NIT Warangal,3rd,Cyber Security,Instagram
LD6107,Ahmedabad,University of Delhi,1st,Machine Learning,Mass-Mailing
LD6108,Jaipur,NIT Warangal,1st,Data Science,Email
LD6109,Hyderabad,XYZ University,2nd,Cyber Security,Referral
LD6110,Jaipur,Jamia Millia Islamia,4th,Robotics,Facebook
LD6111,Mumbai,BITS Pilani,4th,Cyber Security,College Collaboration
LD6112,Hyderabad,ABC Institute,2nd,Electric Vehicle,WhatsApp
LD6113,Nagpur,SP College,1st,Cyber Security,Mass-Mailing
LD6114,Pune,SP College,2nd,AI,Facebook
LD6115,Nagpur,University of Delhi,1st,Cloud Computing,Email
LD6116,Patna,NIT Trichy,1st,Data Science,LinkedIn
LD6117,Indore,VIT Vellore,1st,Robotics,Facebook
LD6118,Ahmedabad,Shiv Nadar University,4th,Machine Learning,Email
LD6119,Surat,BITS Pilani,3rd,Data Science,Referral
LD6120,Ahmedabad,Shivaji University,3rd,Cyber Security,Mass-Mailing
LD6121,Bhopal,BITS Pilani,1st,AI,Email
LD6122,Mumbai,Bharati Vidyapeeth,2nd,Cyber Security,Referral
LD6123,Jaipur,Bharati Vidyapeeth,3rd,Cloud Computing,LinkedIn
LD6124,Coimbatore,Amity University,3rd,Cyber Security,Email
LD6125,Coimbatore,XYZ University,4th,Robotics,LinkedIn
LD6126,Bangalore,NIT Trichy,1st,Electric Vehicle,Google Form
LD6127,Visakhapatnam,SRM University,4th,Cyber Security,Google Form
LD6128,Jaipur,ABC Institute,4th,Cyber Security,Instagram
LD6129,Nagpur,Amity University,1st,Cyber Security,Email
LD6130,Delhi,Manipal University,3rd,AI,Instagram
LD6131,Coimbatore,Manipal University,4th,Cyber Security,WhatsApp
LD6132,Jaipur,NIT Warangal,3rd,Robotics,Referral
LD6133,Vadodara,NIT Warangal,3rd,Cloud Computing,Instagram
LD6134,Bhopal,Shivaji University,4th,Machine Learning,College Collaboration
LD6135,Pune,SP College,4th,Electric Vehicle,College Collaboration
LD6136,Kolkata,MIT Pune,2nd,Machine Learning,College Collaboration
LD6137,Pune,XYZ University,2nd,Electric Vehicle,College Collaboration
LD6138,Visakhapatnam,IIT Bombay,4th,Data Science,College Collaboration
LD6139,Kolkata,University of Delhi,4th,Electric Vehicle,WhatsApp
LD6140,Jaipur,IIT Bombay,2nd,Cyber Security,Email
LD6141,Delhi,VIT Vellore,2nd,Machine Learning,Google Form
LD6142,Mumbai,NIT Warangal,2nd,Robotics,Email
LD6143,Chennai,SRM University,2nd,Cloud Computing,Mass-Mailing
LD6144,Chandigarh,Jadavpur University,4th,Cloud Computing,LinkedIn
LD6145,Lucknow,NIT Warangal,1st,Electric Vehicle,Email
LD6146,Hyderabad,Shivaji University,1st,Electric Vehicle,Instagram
LD6147,Nagpur,NIT Warangal,2nd,Machine Learning,LinkedIn
LD6148,Visakhapatnam,SRM University,3rd,Machine Learning,Google Form
LD6149,Bhopal,Jadavpur University,4th,Machine Learning,Email
LD6150,Delhi,IIT Delhi,3rd,AI,WhatsApp
LD6151,Chennai,Shiv Nadar University,4th,Cyber Security,College Collaboration
LD6152,Ahmedabad,Jadavpur University,2nd,Robotics,Email
LD6153,Visakhapatnam,ABC Institute,3rd,Electric Vehicle,Google Form
LD6154,Coimbatore,Bharati Vidyapeeth,3rd,Cloud Computing,Instagram
LD6155,Surat,IIT Bombay,3rd,Cloud Computing,College Collaboration
LD6156,Surat,IISc Bangalore,1st,AI,Referral
LD6157,Trivandrum,IISc Bangalore,2nd,Electric Vehicle,LinkedIn
LD6158,Indore,University of Delhi,2nd,Data Science,Email
LD6159,Nagpur,ABC Institute,2nd,Electric Vehicle,Instagram
LD6160,Trivandrum,IIT Delhi,1st,Machine Learning,Mass-Mailing
LD6161,Hyderabad,IISc Bangalore,2nd,AI,Instagram
LD6162,Chandigarh,Manipal University,2nd,Electric Vehicle,Facebook
LD6163,Kolkata,SP College,1st,Machine Learning,Instagram
LD6164,Visakhapatnam,BITS Pilani,2nd,Robotics,College Collaboration
LD6165,Trivandrum,BITS Pilani,3rd,Robotics,Google Form
LD6166,Patna,Jadavpur University,3rd,Cyber Security,LinkedIn
LD6167,Chennai,SRM University,2nd,AI,College Collaboration
LD6168,Mumbai,IIT Bombay,4th,Robotics,LinkedIn
LD6169,Kolkata,IISc Bangalore,2nd,Robotics,Email
LD6170,Mumbai,NIT Warangal,4th,Electric Vehicle,Email
LD6171,Mumbai,Manipal University,4th,Cyber Security,Instagram
LD6172,Lucknow,IIT Delhi,3rd,Cloud Computing,Referral
LD6173,Ahmedabad,University of Delhi,1st,AI,LinkedIn
LD6174,Pune,IISc Bangalore,3rd,Cyber Security,Referral
LD6175,Hyderabad,BITS Pilani,4th,AI,WhatsApp
LD6176,Lucknow,Manipal University,1st,AI,College Collaboration
LD6177,Visakhapatnam,SP College,2nd,Electric Vehicle,Mass-Mailing
LD6178,Kolkata,Jadavpur University,4th,Cyber Security,Referral
LD6179,Mumbai,Jamia Millia Islamia,1st,Cyber Security,Google Form
LD6180,Patna,Amity University,1st,Cloud Computing,Mass-Mailing
LD6181,Chandigarh,SRM University,4th,Cloud Computing,Google Form
LD6182,Kolkata,NIT Warangal,1st,Machine Learning,Referral
LD6183,Delhi,NIT Trichy,2nd,Data Science,College Collaboration
LD6184,Nagpur,IIT Delhi,2nd,Data Science,Google Form
LD6185,Delhi,XYZ University,1st,Cloud Computing,Email
LD6186,Trivandrum,University of Delhi,2nd,Electric Vehicle,Google Form
LD6187,Bhopal,Jadavpur University,1st,Robotics,Referral
LD6188,Lucknow,ABC Institute,3rd,Robotics,Facebook
LD6189,Indore,Jadavpur University,3rd,Robotics,Mass-Mailing
LD6190,Coimbatore,ABC Institute,3rd,Electric Vehicle,College Collaboration
LD6191,Chandigarh,NIT Trichy,1st,Cloud Computing,College Collaboration
LD6192,Jaipur,IIT Delhi,1st,Cloud Computing,Email
LD6193,Pune,BITS Pilani,1st,Data Science,Email
LD6194,Trivandrum,NIT Warangal,1st,AI,Instagram
LD6195,Bangalore,XYZ University,3rd,Robotics,College Collaboration
LD6196,Bangalore,IISc Bangalore,3rd,Robotics,Email
LD6197,Patna,ABC Institute,3rd,Cloud Computing,Referral
LD6198,Bangalore,University of Delhi,4th,Data Science,Instagram
LD6199,Coimbatore,IIT Bombay,2nd,Machine Learning,LinkedIn
LD6200,Patna,IIT Bombay,3rd,Cyber Security,Mass-Mailing
LD6201,Trivandrum,NIT Trichy,1st,Electric Vehicle,Google Form
LD6202,Vadodara,IIT Delhi,2nd,Electric Vehicle,Referral
LD6203,Chennai,MIT Pune,2nd,AI,Mass-Mailing
LD6204,Delhi,IIT Bombay,1st,Electric Vehicle,Referral
LD6205,Indore,SP College,4th,Robotics,Google Form
LD6206,Delhi,University of Delhi,1st,Cloud Computing,Instagram
LD6207,Pune,Bharati Vidyapeeth,4th,Electric Vehicle,College Collaboration
LD6208,Chennai,Amity University,1st,Machine Learning,Google Form
LD6209,Chandigarh,ABC Institute,2nd,Data Science,Google Form
LD6210,Indore,SP College,3rd,Cloud Computing,WhatsApp
LD6211,Lucknow,Amity University,2nd,Cyber Security,Instagram
LD6212,Surat,SP College,1st,AI,LinkedIn
LD6213,Chandigarh,IISc Bangalore,1st,Electric Vehicle,Email
LD6214,Mumbai,SP College,4th,Cloud Computing,Referral
LD6215,Coimbatore,IISc Bangalore,1st,AI,Email
LD6216,Surat,IISc Bangalore,3rd,Data Science,College Collaboration
LD6217,Vadodara,IIT Bombay,1st,Machine Learning,Instagram
LD6218,Lucknow,Jamia Millia Islamia,1st,Data Science,Email
LD6219,Hyderabad,IIT Delhi,2nd,Data Science,Mass-Mailing
LD6220,Coimbatore,Jamia Millia Islamia,3rd,Electric Vehicle,Facebook
LD6221,Visakhapatnam,Amity University,3rd,Data Science,Referral
LD6222,Coimbatore,MIT Pune,1st,Data Science,College Collaboration
LD6223,Indore,Shiv Nadar University,2nd,Data Science,Email
LD6224,Ahmedabad,ABC Institute,3rd,Electric Vehicle,Email
LD6225,Mumbai,Jadavpur University,4th,Cloud Computing,Email
LD6226,Surat,XYZ University,1st,Robotics,Mass-Mailing
LD6227,Patna,XYZ University,2nd,Cloud Computing,LinkedIn
LD6228,Indore,Shiv Nadar University,2nd,Machine Learning,Facebook
LD6229,Jaipur,University of Delhi,4th,Cyber Security,Google Form
LD6230,Chandigarh,NIT Warangal,3rd,AI,Email
LD6231,Ahmedabad,Jadavpur University,3rd,AI,Google Form
LD6232,Delhi,IISc Bangalore,4th,AI,Facebook
LD6233,Surat,Jadavpur University,2nd,Cloud Computing,Email
LD6234,Bhopal,NIT Trichy,4th,Data Science,Referral
LD6235,Lucknow,SRM University,3rd,Electric Vehicle,Instagram
LD6236,Ahmedabad,MIT Pune,3rd,Machine Learning,College Collaboration
LD6237,Visakhapatnam,MIT Pune,3rd,Robotics,WhatsApp
LD6238,Indore,Jamia Millia Islamia,3rd,Machine Learning,Google Form
LD6239,Pune,XYZ University,3rd,Data Science,Referral
LD6240,Visakhapatnam,Shivaji University,2nd,Machine Learning,Facebook
LD6241,Lucknow,NIT Trichy,1st,Data Science,WhatsApp
LD6242,Lucknow,NIT Warangal,1st,Electric Vehicle,LinkedIn
LD6243,Jaipur,Bharati Vidyapeeth,1st,Cyber Security,Mass-Mailing
LD6244,Visakhapatnam,Jadavpur University,3rd,Electric Vehicle,Referral
LD6245,Trivandrum,VIT Vellore,4th,AI,LinkedIn
LD6246,Chennai,IIT Bombay,3rd,Data Science,Referral
LD6247,Bhopal,IISc Bangalore,1st,Robotics,Email
LD6248,Pune,Bharati Vidyapeeth,3rd,Electric Vehicle,Instagram
LD6249,Chandigarh,SRM University,3rd,Machine Learning,WhatsApp
LD6250,Kolkata,IISc Bangalore,2nd,Electric Vehicle,Facebook
LD6251,Jaipur,Shivaji University,3rd,Cloud Computing,LinkedIn
LD6252,Mumbai,Manipal University,3rd,Cyber Security,Email
LD6253,Chennai,SRM University,1st,Cyber Security,Google Form
LD6254,Patna,Jamia Millia Islamia,1st,AI,Google Form
LD6255,Ahmedabad,NIT Trichy,4th,Cyber Security,Referral
LD6256,Delhi,BITS Pilani,1st,Electric Vehicle,Instagram
LD6257,Surat,SP College,1st,Data Science,Email
LD6258,Indore,MIT Pune,4th,Electric Vehicle,College Collaboration
